F-n045-k4.txt-distance-limit-1000.result,45,1.66667,1.0,1,1,12,266.473,256.05,256.05,1,1.0
F-n045-k4.txt-distance-limit-200.result,45,3.15137,2.71191,3,50,256,32862.8,32574.801000000003,651.49602,1.96866,85.0
F-n045-k4.txt-distance-limit-500.result,45,1.55784,1.25,2,86,854,54000.9,52611.882,611.7660697674419,1,1.0
F-n072-k4.txt-distance-limit-100.result,72,2.85391,2.11159,3,124,1245,420272.0,416636.9400000002,3359.9753225806467,1.42403,460.0
F-n072-k4.txt-distance-limit-200.result,72,1.37116,1.06128,2,397,25019,11259200.0,1124874.6000000013,2833.4372795969807,1,1.0
F-n072-k4.txt-distance-limit-50.result,72,4.57417,3.74378,5,120,758,452980.0,448751.22,3739.5935,2.93459,344.0
F-n072-k4.txt-distance-limit-500.result,72,1.23077,1.0,1,1,21,1246.28,1228.92,1228.92,1,1.0
F-n135-k7.txt-distance-limit-200.result,135,5.45202,3.68374,5,967,2307,36308100.0,36276718.59999995,37514.703826266756,2.72174,392.0
F-n135-k7.txt-distance-limit-500.result,135,2.20073,1.64504,3,988,5360,31016000.0,29122641.09999999,29476.357388663957,1.17434,1981.0
M-n101-k10.txt-distance-limit-100.result,101,6.93698,5.26645,7,318,1432,3534750.0,3525964.909999998,11087.939968553452,3.90063,362.0
M-n101-k10.txt-distance-limit-200.result,101,3.39086,2.80949,4,365,2527,4366000.0,4345062.800000002,11904.28164383562,2.00742,1116.0
M-n101-k10.txt-distance-limit-500.result,101,1.43044,1.27535,2,31,4604,1237030.0,301786.4900000001,9735.048064516133,1,1.0
M-n121-k07.txt-distance-limit-100.result,121,11.8254,9.29611,11,216,651,4120570.0,4115119.699999999,19051.48009259259,7.49618,138.0
M-n121-k07.txt-distance-limit-1000.result,121,1.02522,1.0,1,1,7990,3178000.0,9065.42,9065.42,1,1.0
M-n121-k07.txt-distance-limit-200.result,121,4.58693,2.96832,5,902,4769,24887800.0,24440200.099999994,27095.565521064294,2.38147,805.0
M-n121-k07.txt-distance-limit-500.result,121,1.52608,1.37938,2,71,5061,3044670.0,1412036.8999999994,19887.843661971823,1,1.0
M-n151-k12.txt-distance-limit-100.result,151,8.75537,7.40874,10,485,2596,31589900.0,31561225.999999993,65074.69278350514,6.30075,980.0
M-n151-k12.txt-distance-limit-200.result,151,4.31802,3.91488,6,188,4148,13415500.0,12949979.299999995,68882.86861702125,2.98585,2488.0
M-n151-k12.txt-distance-limit-50.result,151,21.6031,17.4327,21,276,494,14229300.0,14222768.699999992,51531.77065217388,14.2277,118.0
M-n151-k12.txt-distance-limit-500.result,151,1.78299,1.70328,3,54,11462,10225800.0,2591123.1,47983.76111111111,1.19351,9418.0
M-n200-k16.txt-distance-limit-100.result,200,9.80773,8.08642,11,919,4060,176705000.0,176342606.0,191885.316648531,6.97523,1480.0
M-n200-k16.txt-distance-limit-200.result,200,4.80838,4.32245,7,384,6287,83267000.0,77773581.0,202535.3671875,3.29091,3418.0
M-n200-k16.txt-distance-limit-50.result,200,24.0964,19.2176,23,426,740,66955900.0,66937740.0,157130.84507042254,15.8636,218.0
M-n200-k16.txt-distance-limit-500.result,200,1.96236,1.83966,4,259,19841,78155100.0,39859671.0,153898.34362934364,1.29916,14359.0
M-n200-k17.txt-distance-limit-100.result,200,9.80773,8.08642,11,919,4060,176610000.0,176249907.0,191784.44722524483,6.97523,1480.0
M-n200-k17.txt-distance-limit-200.result,200,4.80838,4.32245,7,384,6287,82864700.0,77408215.0,201583.89322916666,3.29091,3418.0
M-n200-k17.txt-distance-limit-50.result,200,24.0964,19.2176,23,426,740,66986000.0,66969743.0,157205.96948356807,15.8636,218.0
M-n200-k17.txt-distance-limit-500.result,200,1.96236,1.83966,4,259,19841,78335000.0,39913783.0,154107.27027027027,1.29916,14359.0
euclidean-001.txt.result,25,3.66667,3.11111,4,19,54,1842.49,1705.242,89.74957894736842,2.36947,26.0
euclidean-002.txt.result,25,3.93939,3.3913,4,18,61,1582.77,1454.7670000000003,80.8203888888889,2.72837,21.0
euclidean-003.txt.result,25,3.31783,3.12734,4,9,83,898.573,818.39,90.93222222222222,2.4521,59.0
euclidean-004.txt.result,25,3.28571,3.0,4,16,113,3182.9,1580.739,98.7961875,2.45685,66.0
euclidean-005.txt.result,25,4.10526,3.6,4,16,57,1410.56,1283.185,80.1990625,2.96817,30.0
euclidean-006.txt.result,25,3.125,3.0,4,12,45,2164.74,858.5799999999999,71.54833333333333,2.21155,30.0
euclidean-007.txt.result,25,3.89583,3.33333,4,20,49,1640.95,1522.816,76.1408,2.57632,20.0
euclidean-008.txt.result,25,3.56698,3.05862,4,9,67,925.507,742.3689999999999,82.48544444444444,2.21271,32.0
euclidean-009.txt.result,25,3.66667,3.0,3,8,57,610.797,583.69,72.96125,2.35873,31.0
euclidean-010.txt.result,50,5.31142,4.36547,5,53,268,45016.3,43600.197000000015,822.6452264150946,3.45457,120.0
euclidean-011.txt.result,50,4.75956,3.83438,5,46,354,45446.6,42967.038,934.0660434782609,3.05027,151.0
euclidean-012.txt.result,50,4.91515,3.99968,5,65,370,59335.0,57515.600000000006,884.8553846153847,3.17299,136.0
euclidean-013.txt.result,50,4.98934,4.25159,5,103,304,90505.5,88975.173,863.8366310679611,3.61128,109.0
euclidean-014.txt.result,50,5.23465,4.27973,5,66,277,58767.0,57053.903000000006,864.4530757575758,3.52904,85.0
euclidean-015.txt.result,100,7.00935,6.04363,8,82,978,812710.0,807787.7199999999,9851.069756097559,4.57643,526.0
euclidean-016.txt.result,100,8.21069,6.07973,8,245,876,2521360.0,2514419.919999998,10262.938448979585,4.83858,234.0
euclidean-017.txt.result,100,7.84041,5.99149,8,209,862,2088980.0,2083520.8499999992,9968.999282296647,4.75893,241.0
euclidean-018.txt.result,200,7.86305,5.72283,8,1145,6914,182038000.0,179133893.0,156448.8148471616,4.92165,1825.0
euclidean-019.txt.result,200,8.01866,5.82938,8,1457,6642,223095000.0,220536479.0,151363.40356897734,4.92932,1876.0
gr202.txt.result,202,9.66799,4.95293,8,1745,2387,267789000.0,267677997.5,153397.13323782236,3.6229,196.0
gr96.txt.result,96,7.87863,5.61837,7,239,608,2433910.0,2429235.3400000003,10164.164602510462,4.8951,168.0
pr76.txt.result,76,6.99616,5.42731,6,173,423,903280.0,901043.8299999998,5208.345838150288,4.19955,134.0
small-sample.txt.result,6,1.33333,1.25,2,1,6,14.871,1.511,1.511,1,1.0
